fecha_enc_vent,score,canal_venta
2023-01-02,7.6,WA
2023-01-02,9.8,PRE
2023-01-02,7.7,WA
2023-01-02,6.7,WA
2023-01-02,9.6,MAIL
2023-01-02,10.0,WA
2023-01-03,9.7,WA
2023-01-03,7.3,TEL
2023-01-03,9.1,PRE
2023-01-03,7.8,TEL
2023-01-03,7.0,WA
2023-01-03,6.4,PRE
2023-01-03,5.8,MAIL
2023-01-03,8.8,TEL
2023-01-03,6.7,TEL
2023-01-03,9.7,WA
2023-01-04,8.5,PRE
2023-01-04,5.4,PRE
2023-01-04,8.3,WA
2023-01-04,7.7,MAIL
2023-01-04,6.9,WA
2023-01-04,8.4,TEL
2023-01-04,6.2,PRE
2023-01-04,7.3,WA
2023-01-05,8.8,TEL
2023-01-05,8.5,MAIL
2023-01-05,8.8,WA
2023-01-05,7.9,PRE
2023-01-05,8.0,WA
2023-01-05,7.3,PRE
2023-01-05,8.8,WA
2023-01-05,7.5,WA
2023-01-05,9.3,PRE
2023-01-05,9.3,WA
2023-01-05,3.9,MAIL
2023-01-05,7.9,MAIL
2023-01-05,6.9,WA
2023-01-05,9.5,WA
2023-01-05,6.0,MAIL
2023-01-05,7.7,WA
2023-01-10,8.5,WA
2023-01-10,7.9,TEL
2023-01-10,9.7,PRE
2023-01-10,7.1,PRE
2023-01-10,10.0,TEL
2023-01-10,7.9,TEL
2023-01-10,7.2,PRE
2023-01-10,9.5,PRE
2023-01-11,7.9,WA
2023-01-11,6.9,WA
2023-01-11,9.5,MAIL
2023-01-11,8.3,PRE
2023-01-11,5.7,WA
2023-01-11,8.0,TEL
2023-01-11,5.1,TEL
2023-01-11,8.2,WA
2023-01-11,5.4,WA
2023-01-12,8.9,PRE
2023-01-12,8.2,PRE
2023-01-12,5.4,PRE
2023-01-12,6.0,WA
2023-01-13,6.6,WA
2023-01-13,6.6,TEL
2023-01-13,6.9,PRE
2023-01-13,7.1,PRE
2023-01-13,7.9,PRE
2023-01-13,7.2,WA
2023-01-13,5.5,PRE
2023-01-13,7.0,TEL
2023-01-16,7.0,TEL
2023-01-16,8.8,PRE
2023-01-16,6.2,WA
2023-01-16,8.5,WA
2023-01-16,8.1,MAIL
2023-01-16,7.5,PRE
2023-01-16,9.2,MAIL
2023-01-16,8.8,TEL
2023-01-16,6.4,WA
2023-01-16,6.9,WA
2023-01-16,6.1,WA
2023-01-17,9.6,TEL
2023-01-17,5.7,PRE
2023-01-17,8.6,WA
2023-01-17,8.0,PRE
2023-01-17,7.0,TEL
2023-01-17,7.7,WA
2023-01-17,6.8,WA
2023-01-17,8.9,PRE
2023-01-17,7.9,MAIL
2023-01-18,8.9,PRE
2023-01-18,7.5,TEL
2023-01-18,7.5,WA
2023-01-18,7.6,TEL
2023-01-18,8.4,PRE
2023-01-18,7.6,PRE
2023-01-18,7.8,WA
2023-01-18,7.2,TEL
2023-01-18,5.2,PRE
2023-01-18,6.9,MAIL
2023-01-18,7.1,WA
2023-01-18,8.6,WA
2023-01-18,5.0,WA
2023-01-18,6.9,TEL
2023-01-18,7.8,MAIL
2023-01-19,7.7,WA
2023-01-19,7.3,WA
2023-01-19,6.3,WA
2023-01-19,8.4,WA
2023-01-19,6.6,WA
2023-01-19,7.6,WA
2023-01-20,5.3,TEL
2023-01-20,6.2,WA
2023-01-20,7.4,WA
2023-01-20,8.5,TEL
2023-01-20,7.6,PRE
2023-01-20,7.8,WA
2023-01-20,6.4,WA
2023-01-20,8.9,WA
2023-01-20,7.9,TEL
2023-01-20,7.9,PRE
2023-01-20,8.0,WA
2023-01-20,6.4,WA
2023-01-20,7.0,TEL
2023-01-20,9.0,PRE
2023-01-24,5.2,TEL
2023-01-24,9.4,WA
2023-01-24,6.0,WA
2023-01-24,8.1,PRE
2023-01-24,8.7,PRE
2023-01-26,8.5,PRE
2023-01-26,7.3,WA
2023-01-26,8.7,PRE
2023-01-26,7.1,PRE
2023-01-26,7.7,WA
2023-01-27,6.0,TEL
2023-01-27,10.0,PRE
2023-01-27,8.4,WA
2023-01-27,8.2,PRE
2023-01-27,7.7,TEL
2023-01-27,7.2,MAIL
2023-01-27,6.3,PRE
2023-01-27,8.0,WA
2023-01-27,8.9,WA
2023-01-27,3.3,WA
2023-01-28,6.6,PRE
2023-01-28,4.7,WA
2023-01-28,6.8,WA
2023-01-31,8.0,WA
2023-01-31,5.8,TEL
2023-01-31,7.1,PRE
2023-01-31,8.4,PRE
2023-02-01,6.9,WA
2023-02-01,7.0,TEL
2023-02-01,8.5,MAIL
2023-02-01,5.5,MAIL
2023-02-01,7.3,WA
2023-02-02,7.1,WA
2023-02-02,5.9,WA
2023-02-02,8.5,WA
2023-02-02,6.1,TEL
2023-02-02,7.0,MAIL
2023-02-02,4.5,TEL
2023-02-02,7.7,WA
2023-02-08,7.2,PRE
2023-02-08,8.6,PRE
2023-02-08,6.2,WA
2023-02-08,6.7,WA
2023-02-08,8.9,WA
2023-02-08,7.6,MAIL
2023-02-08,6.2,WA
2023-02-08,7.1,PRE
2023-02-08,9.2,PRE
2023-02-08,4.9,PRE
2023-02-10,7.5,TEL
2023-02-10,6.8,WA
2023-02-10,7.5,PRE
2023-02-10,8.9,PRE
2023-02-10,6.9,WA
2023-02-10,6.0,WA
2023-02-10,6.3,PRE
2023-02-10,7.6,PRE
2023-02-10,7.4,PRE
2023-02-10,8.5,WA
2023-02-10,7.1,TEL
2023-02-10,5.5,PRE
2023-02-10,7.5,PRE
2023-02-10,3.1,PRE
2023-02-14,9.0,TEL
2023-02-14,6.8,WA
2023-02-14,8.6,WA
2023-02-14,9.5,PRE
2023-02-14,7.8,WA
2023-02-14,7.6,WA
2023-02-14,9.5,WA
2023-02-14,7.6,WA
2023-02-14,8.0,MAIL
2023-02-14,7.3,WA
2023-02-16,8.7,PRE
2023-02-16,8.5,WA
2023-02-16,9.5,WA
2023-02-16,8.1,PRE
2023-02-16,5.9,WA
2023-02-16,8.3,TEL
2023-02-16,8.6,TEL
2023-02-16,9.1,MAIL
2023-02-16,8.3,WA
2023-02-16,7.6,PRE
2023-02-16,6.6,PRE
2023-02-17,7.5,PRE
2023-02-17,10.0,WA
2023-02-17,8.7,PRE
2023-02-17,7.6,WA
2023-02-17,8.3,WA
2023-02-17,8.0,PRE
2023-02-17,8.9,MAIL
2023-02-18,7.7,WA
2023-02-18,7.2,WA
2023-02-20,8.1,MAIL
2023-02-20,8.1,PRE
2023-02-20,8.2,WA
2023-02-20,8.8,PRE
2023-02-20,6.2,WA
2023-02-20,8.1,WA
2023-02-20,7.8,PRE
2023-02-20,9.4,MAIL
2023-02-20,7.3,TEL
2023-02-20,7.9,MAIL
2023-02-20,8.5,TEL
2023-02-20,7.6,PRE
2023-02-20,7.6,WA
2023-02-20,6.3,PRE
2023-02-20,8.2,PRE
2023-02-20,8.7,WA
2023-02-21,7.5,TEL
2023-02-21,9.0,TEL
2023-02-21,7.9,MAIL
2023-02-21,7.2,WA
